ID Year,Year,Property Value,Property Value Moe,Household Income by Race,Geography,ID Geography,Slug Geography
2018,2018,219800,2029,64312,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc
2018,2018,423000,20402,128255,"Davidson, NC",16000US3716400,davidson-nc
2017,2017,203900,2431,61695,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc
2017,2017,406000,27725,120658,"Davidson, NC",16000US3716400,davidson-nc
2016,2016,192700,1739,59268,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc
2016,2016,393300,20094,109907,"Davidson, NC",16000US3716400,davidson-nc
2015,2015,184800,1903,56854,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc
2015,2015,381200,26740,105083,"Davidson, NC",16000US3716400,davidson-nc
2014,2014,181800,1602,56472,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc
2014,2014,379200,35155,94551,"Davidson, NC",16000US3716400,davidson-nc
2013,2013,181900,2155,55444,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc
2013,2013,391300,46659,88750,"Davidson, NC",16000US3716400,davidson-nc